name,year,mpaa,sex,violence,profanity
Baby's Day Out ,1994,PG,1,3,0
"Baby-Sitters Club, The ",1995,PG,1,1,1
"Bachelor, The ",1999,PG-13,3,3,6
Backbeat ,1994,R,9,5,8
"Back-up Plan, The ",2010,PG-13,6,4,5
Bad Boys ,1995,R,3,7,9
Bad Company ,1995,R,8,5,6
Bad Company ,2002,PG-13,3,5,5
Bad Girls ,1994,R,2,5,4
Bad Grandpa ,2013,R,7,5,6
Bad News Bears ,2005,PG-13,5,4,4
Bad Teacher ,2011,R,7,3,8
Bad Words ,2014,R,6,3,6
Baggage Claim ,2013,PG-13,5,2,4
Baghead ,2008,R,7,6,9
"Ballad of Little Jo, The ",1993,R,6,5,3
Ballistic: Ecks vs. Sever ,2002,R,2,5,4
Balls of Fury ,2007,PG-13,4,5,4
Balto ,1995,G,0,2,0
Bandits ,2001,PG-13,4,5,4
Bandslam ,2009,PG,4,3,3
"Band's Visit, The ",2007,PG-13,5,2,5
"Banger Sisters, The ",2002,R,7,2,6
Bangkok Dangerous ,2008,R,8,8,5
"Bank Job, The ",2008,R,8,8,7
B.A.P.S. ,1997,PG-13,2,2,5
Barbara ,2012,PG-13,5,5,4
Barbershop ,2002,PG-13,3,3,5
Barbershop 2: Back In Business ,2004,PG-13,4,4,5
Barbershop: The Next Cut ,2016,PG-13,4,4,5
Barb Wire ,1996,R,5,8,7
Barney's Great Adventure: The Movie ,1998,G,0,1,0
Barnyard: The Original Party Animals ,2006,PG,2,5,1
BASEketball ,1998,R,5,5,7
Basic Instinct ,1992,R,10,8,9
Basil ,1998,R,4,5,0
"Basketball Diaries, The ",1995,R,6,7,7
Batman and Robin ,1997,PG-13,2,5,3
Batman Begins ,2005,PG-13,2,6,3
Batman Forever ,1995,PG-13,2,5,2
Batman: Mask of the Phantasm ,1994,PG,1,4,0
Batman Returns ,1992,PG-13,2,4,2
Batman v Superman: Dawn of Justice ,2016,PG-13,3,6,3
Bats ,1999,PG-13,1,6,5
Battlefield Earth ,2000,PG-13,2,6,3
Battle for Terra ,2009,PG,1,4,1
Battle in Seattle ,2008,R,3,5,9
Battle: Los Angeles ,2011,PG-13,2,7,5
"Battle of Shaker Heights, The ",2003,PG-13,3,4,5
Battle of the Year ,2013,PG-13,3,3,5
Battleship ,2012,PG-13,3,6,5
"Baxter, The ",2005,PG-13,4,3,5
Bean ,1997,PG-13,3,2,3
Bears ,2014,G,1,2,0
Beasts of the Southern Wild ,2012,PG-13,3,5,5
Beastly ,2011,PG-13,3,5,4
"Beautician and the Beast, The ",1997,PG,2,1,2
Beautiful Creatures ,2013,PG-13,5,5,4
Beautiful Girls ,1996,R,5,2,7
"Beautiful Mind, A ",2001,PG-13,4,5,4
Beauty and the Beast ,1991,G,2,4,1
Beauty and the Beast ,2017,PG,2,4,1
Beauty Shop ,2005,PG-13,5,2,4
"Beaver, The ",2011,PG-13,7,6,5
Beavis and Butt-head Do America ,1996,PG-13,3,3,5
Because I Said So ,2007,PG-13,6,2,4
Because of Winn-Dixie ,2005,PG,1,3,2
Becoming Jane ,2007,PG,4,4,1
Be Cool ,2005,PG-13,5,5,5
Bedazzled ,2000,PG-13,6,3,3
Bed of Roses ,1996,PG,2,0,1
Bedtime Stories ,2008,PG,3,3,2
Bee Movie ,2007,PG,2,2,2
Beerfest ,2006,R,9,6,8
Bee Season ,2005,PG-13,6,1,5
Beethoven ,1992,PG,1,2,0
Beethoven's 2nd ,1994,PG,2,1,1
Before and After ,1996,PG-13,4,4,5
Before I Fall ,2017,PG-13,5,4,5
Before I Go to Sleep ,2014,R,6,6,5
Before Midnight ,2013,R,7,2,8
Before Sunrise ,1995,R,3,0,5
Before Sunset ,2004,R,5,1,5
Begin Again ,2014,R,4,3,9
Beginners ,2011,R,7,3,6
"Beguiled, The ",2017,R,6,6,2
Behind Enemy Lines ,2001,PG-13,0,7,5
Being Elmo: A Puppeteer's Journey ,2011,NR,0,1,1
Being Human ,1994,PG-13,4,5,5
Being John Malkovich ,1999,R,6,3,7
Bel Ami ,2012,R,7,4,5
Bella ,2006,PG-13,2,4,1
Belle ,2014,PG,3,3,2
Beloved ,1998,R,9,7,2
"Benchwarmers, The ",2006,PG-13,3,4,4
Bend it Like Beckham ,2002,PG-13,3,3,4
Ben-Hur ,2016,PG-13,2,6,1
Benji: Off the Leash ,2004,PG,0,4,1
Benny & Joon ,1993,PG,1,2,5
Beowulf ,2007,PG-13,6,8,4
Bernie ,2012,PG-13,3,5,5
Besieged ,1999,R,5,2,0
"Best Exotic Marigold Hotel, The ",2012,PG-13,4,3,5
Best in Show ,2000,PG-13,4,2,3
"Best Man, The ",1999,R,7,4,8
"Best Man Holiday, The ",2013,R,6,4,6
"Best of Me, The ",2014,PG-13,5,6,5
Best of the Best 2 ,1993,R,1,7,5
"Best of Youth, The ",2005,R,6,5,5
"Better Angels, The ",2014,PG,1,4,1
"Better Life, A ",2011,PG-13,3,5,5
"Beverly Hillbillies, The ",1993,PG,0,2,4
Beverly Hills Chihuahua ,2008,PG,2,4,3
Beverly Hills Cop III ,1994,R,2,6,6
Beverly Hills Ninja ,1997,PG-13,2,4,3
Bewitched ,2005,PG-13,4,3,3
Beyond Borders ,2003,R,4,8,7
Beyond Rangoon ,1995,R,0,5,2
Beyond Silence ,1996,R,4,2,1
Beyond the Lights ,2014,PG-13,6,3,5
Beyond the Mat ,1999,R,2,7,7
Beyond the Reach ,2015,R,3,6,4
"BFG, The ",2016,PG,0,3,2
Bicentennial Man ,1999,PG,3,3,4
"Big Bounce, The ",2004,PG-13,5,4,5
Big Bully ,1996,PG,1,2,3
Big Daddy ,1999,PG-13,3,3,5
Big Eyes ,2014,PG-13,2,4,5
Big Fat Liar ,2002,PG,2,3,3
Big Fish ,2003,PG-13,4,4,3
"Bigger Splash, A ",2016,R,9,4,9
"Big Green, The ",1995,PG,1,1,1
"Big Hit, The ",1998,R,4,6,9
Big Hero 6 ,2014,PG,1,4,1
"Big Kahuna, The ",2000,R,2,1,6
Big Miracle ,2012,PG,1,3,3
Big Momma's House ,2000,PG-13,5,4,5
Big Momma's House 2 ,2006,PG-13,4,4,4
"Big Mommas: Like Father, Like Son ",2011,PG-13,5,5,4
Big Sur ,2013,R,6,3,5
Big Trouble ,2002,PG-13,5,5,6
"Big Uneasy, The ",2011,NR,5,4,5
"Big Wedding, The ",2013,R,7,3,6
"Big Year, The ",2011,PG,3,3,4
Biker Boyz ,2003,PG-13,4,5,5
Billy Madison ,1995,PG-13,3,3,5
Bio-Dome ,1996,PG-13,3,2,3
"Birdcage, The ",1996,R,4,0,6
Birth ,2004,R,7,3,4
Birthday Girl ,2002,R,6,5,5
"Birth of a Nation, The ",2016,R,5,8,3
Birth of the Dragon ,2017,PG-13,1,5,3
Biutiful ,2010,R,7,6,8
Black Beauty ,1994,G,0,3,0
"Black Dahlia, The ",2006,R,8,9,6
Black Dog ,1998,PG-13,0,7,5
Blackhat ,2015,R,5,6,5
Black Hawk Down ,2001,R,1,10,8
Black Knight ,2001,PG-13,4,6,4
Black Mask ,1996,R,2,9,6
Black Nativity ,2013,PG,1,3,2
Black or White ,2015,PG-13,2,4,5
Black Sheep ,1996,PG-13,2,2,5
Black Snake Moan ,2007,R,8,6,8
Black Swan ,2010,R,8,8,6
Blade ,1998,R,3,9,8
Blade: Trinity ,2004,R,5,9,8
Blade II ,2002,R,3,10,7
Blades of Glory ,2007,PG-13,6,6,4
Blade Runner ,1982,R,5,7,2
Blair Witch ,2016,R,1,6,8
Blame It on the Bellboy ,1992,PG-13,1,5,4
Blank Check ,1994,PG,0,3,2
Blankman ,1994,PG-13,3,4,3
Blast from the Past ,1999,PG-13,2,2,5
Bleed for This ,2016,R,6,6,9
Blended ,2014,PG-13,5,3,4
Bless the Child ,2000,R,1,7,5
Blindness ,2008,R,9,9,8
"Blind Side, The ",2009,PG-13,4,4,4
"Blind Swordsman, The: Zatoichi ",2003,R,5,10,3
"Bling Ring, The ",2013,R,4,3,7
Blink ,1994,R,5,7,7
Blood and Chocolate ,2007,PG-13,4,6,3
Blood Diamond ,2006,R,5,8,6
Blood Simple: The Director's Cut ,1984,R,4,7,6
Blood Work ,2002,R,2,6,6
Blow Dry ,2001,R,6,4,5
Blown Away ,1994,R,0,7,5
Blue Chips ,1994,PG-13,1,1,5
Blue Crush ,2002,PG-13,3,3,5
Blue Is the Warmest Color ,2013,NC-17,10,3,6
Blue Jasmine ,2013,PG-13,5,4,5
Blue Like Jazz ,2012,PG-13,4,3,4
Blue Streak ,1999,PG-13,2,6,6
Blues Brothers 2000 ,1998,PG-13,3,3,3
Blue Valentine ,2010,R,8,4,8
Boat Trip ,2003,R,8,3,6
Bobby ,2006,R,5,6,5
"Bobby Jones, Stroke of Genius ",2004,PG,3,2,4
Body of Evidence ,1993,R,9,5,5
Body of Lies ,2008,R,2,9,9
"Bodyguard, The ",1992,R,3,3,5
Boiling Point ,1993,R,2,5,6
Bolt ,2008,PG,0,3,0
"Bone Collector, The ",1999,R,3,9,7
Boo! A Madea Halloween ,2016,PG-13,4,5,5
Boogeyman ,2005,PG-13,4,6,2
"Book of Eli, The ",2009,R,5,9,6
"Book of Life, The ",2014,PG,2,3,1
"Book Thief, The ",2013,PG-13,1,5,2
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,2006,R,9,5,6
Born to Be Wild ,1995,PG,1,2,1
Born to Be Wild 3D ,2011,G,0,2,0
Born Yesterday ,1993,PG,1,2,3
"Borrowed Identity, A ",2014,NR,6,4,2
"Borrowers, The ",1998,PG,0,3,1
"Boss, The ",2016,R,5,5,9
The Boss Baby ,2017,PG,1,3,1
Bounce ,2000,PG-13,5,4,5
Bounty Hunter ,2010,PG-13,5,5,4
"Bourne Identity, The ",2002,PG-13,3,5,5
"Bourne Legacy, The ",2012,PG-13,2,7,5
"Bourne Supremacy, The ",2004,PG-13,3,6,5
Bourne Ultimatum ,2007,PG-13,3,6,4
Bowfinger ,1999,PG-13,4,3,5
Bowling for Columbine ,2002,R,5,5,5
"Box, The ",2009,PG-13,2,6,3
Boxing Helena ,1993,R,9,4,5
"Boxtrolls, The ",2014,PG,1,4,2
"Boy, The ",2016,PG-13,3,5,2
Boyhood ,2014,R,5,4,8
"Boy in the Striped Pajamas, The ",2008,PG-13,1,5,1
"Boy Next Door, The ",2015,R,8,6,6
"Boys and Girl from County Clare, The ",2005,NR,6,3,8
Boys and Girls ,2000,PG-13,5,2,4
"Boys Are Back, The ",2009,PG-13,4,4,4
Boys on the Side ,1995,R,5,4,7
"Brady Bunch Movie, The ",1995,PG-13,3,2,1
Brain Donors ,1992,PG,1,1,0
Brainscan ,1994,R,5,7,6
Bram Stoker's Dracula ,1992,R,7,7,0
Bran Nue Dae ,2009,PG-13,4,4,4
Bratz: The Movie ,2007,PG,3,3,2
Brave ,2012,PG,2,4,1
Braveheart ,1995,R,6,10,2
"Brave One, The ",2007,R,6,8,7
Breach ,2007,PG-13,6,4,5
"Bread, My Sweet, The ",2002,NR,4,3,5
Breakdown ,1997,R,1,7,7
Breakin' All the Rules ,2004,PG-13,6,3,4
Breaking and Entering ,2006,R,8,4,5
"Break-Up, The ",2006,PG-13,7,3,5
Brick Mansions ,2014,PG-13,3,6,5
Bride and Prejudice ,2005,PG-13,4,2,2
Bride of Chucky ,1998,R,4,8,7
Brideshead Revisited ,2008,PG-13,7,2,3
Bridesmaids ,2011,R,8,5,7
Bride Wars ,2008,PG,4,3,3
Bridge of Spies ,2015,PG-13,1,5,5
"Bridges of Madison County, The ",1995,PG-13,4,0,5
Bridget Jones's Baby ,2016,R,7,4,7
Bridget Jones's Diary ,2001,R,6,4,8
Bridget Jones: The Edge of Reason ,2004,R,7,3,7
Bridge to Terabithia ,2007,PG,1,4,1
Bright Star ,2009,PG,3,2,2
Brigsby Bear ,2017,PG-13,4,3,4
Bringing Down the House ,2003,PG-13,4,4,4
Bringing Out the Dead ,1999,R,4,9,8
Bring It On ,2000,PG-13,4,3,4
Brokedown Palace ,1999,PG-13,3,3,5
Brokeback Mountain ,2005,R,8,6,6
Broken Arrow ,1996,R,0,7,6
Broken Embraces ,2009,R,8,4,5
Broken Flowers ,2005,R,6,4,5
Broken Lizard's Club Dread ,2004,R,8,8,8
"Bronx Tale, A ",1993,R,0,8,9
Brooklyn ,2015,PG-13,6,2,5
Brother Bear ,2003,G,1,3,0
Brothers ,2009,R,5,6,7
"Brothers, The ",2001,R,7,3,6
"Brothers Bloom, The ",2009,PG-13,6,6,5
Brotherhood of the Wolf ,2002,R,7,9,3
"Brothers Grimm, The ",2005,PG-13,3,7,4
"Brothers Grimsby, The ",2016,R,9,7,6
"Brothers Solomon, The ",2007,R,7,4,7
Brown Sugar ,2002,PG-13,3,2,5
Bruce Almighty ,2003,PG-13,5,3,5
Br�_no ,2009,R,10,6,7
Bubble Boy ,2001,PG-13,5,5,5
"Bucket List, The ",2007,PG-13,3,3,5
Bucky Larson: Born to Be a Star ,2011,R,9,2,9
Buddy ,1997,PG,1,2,0
Buffy the Vampire Slayer ,1992,PG-13,3,7,0
Bug ,2007,R,9,8,8
"Bug's Life, A ",1998,G,0,3,1
Bulletproof ,1996,R,4,8,9
Bulletproof Monk ,2003,PG-13,4,6,5
Bullet to the Head ,2013,R,6,8,7
Bully ,2012,NR,2,5,6
Buried ,2010,R,1,6,8
Burlesque ,2010,PG-13,6,2,5
Bushwhacked ,1995,PG-13,1,2,5
Butter ,2012,R,6,4,6
"Butterfly, The ",2002,NR,1,3,1
"Bye Bye, Love ",1995,PG-13,2,2,5
"Bye Bye Man, The ",2017,PG-13,5,8,5
By the Sea ,2015,R,8,3,6
Byzantium ,2013,R,7,8,5
Cabin Boy ,1994,PG-13,3,2,4
"Cable Guy, The ",1996,PG-13,3,3,4
Cach̩ ,2005,R,6,6,5
Caf̩ Society ,2016,PG-13,5,5,4
Cake ,2014,R,5,4,7
Calendar Girl ,1993,PG-13,5,3,5
Calendar Girls ,2003,PG-13,5,1,4
"Call, The ",2013,R,6,7,5
Calvary ,2014,R,6,6,6
Camp ,2003,PG-13,4,3,5
"Campaign, The ",2012,R,7,5,7
Camp Nowhere ,1994,PG,2,2,1
Candyman ,1992,R,4,9,4
Candyman: Farewell to the Flesh ,1995,R,5,8,6
Can't Hardly Wait ,1998,PG-13,4,2,6
Capitalism: A Love Story ,2009,R,0,4,5
Capote ,2005,R,2,6,5
Captain America: Civil War ,2016,PG-13,1,7,3
Captain America: The First Avenger 3D ,2011,PG-13,3,6,4
Captain America: The Winter Soldier ,2014,PG-13,1,6,3
Captain Corelli's Mandolin ,2001,R,6,7,5
Captain Phillips ,2013,PG-13,1,5,4
Captain Ron ,1992,PG-13,4,3,5
Captain Underpants: The First Epic Movie ,2017,PG,2,3,2
Captive ,2015,PG-13,3,5,3
"Car 54, Where Are You? ",1994,PG-13,3,3,3
Carnage ,2011,R,1,4,6
Carol ,2015,R,7,3,5
Carrie ,2013,R,6,7,5
Cars ,2006,G,2,3,2
Cars 2 ,2011,G,2,4,1
Cars 3 ,2017,G,0,2,1
Carlito's Way ,1993,R,4,7,7
Casa de Mi Padre ,2012,R,6,8,6
Casanova ,2005,R,6,3,4
"Case for Christ, The ",2017,PG,1,3,2
Case 39 ,2010,R,2,8,5
Casino Jack ,2010,R,6,6,9
Casino Royale ,2006,PG-13,5,7,4
Casper ,1995,PG,1,4,1
Cast Away ,2000,PG-13,3,6,3
"Castle, The ",1999,R,1,2,8
Catch a Fire ,2006,PG-13,4,7,5
Catch and Release ,2007,PG-13,6,3,4
Catch Me If You Can ,2002,PG-13,5,4,5
Catch That Kid ,2004,PG,3,3,2
Catfish ,2010,PG-13,4,2,4
Cats and Dogs ,2001,PG,0,4,3
Cats & Dogs: The Revenge of Kitty Galore ,2010,PG,1,3,2
Cats Don't Dance ,1997,G,0,1,0
"Cat's Meow, The ",2002,PG-13,5,3,5
Catwoman ,2004,PG-13,4,5,3
"Cave, The ",2005,PG-13,1,7,5
Cave of Forgotten Dreams ,2011,NR,2,2,1
CB4 ,1993,R,6,3,9
Cedar Rapids ,2011,R,7,3,6
Celebrity ,1998,R,7,2,9
Celeste and Jesse Forever ,2012,R,7,1,9
"Cell, The ",2000,R,6,10,8
Cellular ,2004,PG-13,3,6,5
Celtic Pride ,1996,PG-13,1,2,5
"Cemetery Club, The ",1993,PG-13,3,2,5
Center Stage ,2000,PG-13,4,1,5
Central Intelligence ,2016,PG-13,4,6,5
"Central Park Five, The ",2012,NR,3,4,5
Central Station ,1998,R,2,4,6
Chain Reaction ,1996,PG-13,0,4,3
Changeling ,2008,R,4,7,5
Changing Lanes ,2002,R,1,3,5
"Chamber, The ",1996,R,0,5,4
Chaplin ,1993,PG-13,3,0,2
Chappie ,2015,R,5,7,9
Charlie and the Chocolate Factory ,2005,PG,3,4,2
Charlie Bartlett ,2008,R,6,4,7
Charlie's Angels ,2000,PG-13,5,6,4
Charlie's Angels: Full Throttle ,2003,PG-13,5,5,4
Charlie St. Cloud ,2010,PG-13,5,5,4
Charlie Wilson's War ,2007,R,6,5,8
Charlotte Gray ,2002,PG-13,4,5,5
Charlotte's Web ,2006,G,1,2,1
"Chase, The ",1994,PG-13,4,4,5
Chasing Liberty ,2004,PG-13,4,3,4
Chasing Mavericks ,2012,PG,2,3,1
Cheaper by the Dozen ,2003,PG,3,3,3
Cheaper by the Dozen 2 ,2005,PG,3,3,3
Cheatin' ,2015,NR,6,4,1
Chef ,2014,R,4,3,9
Che: Part One ,2008,R,2,7,5
Che: Part Two ,2009,R,1,8,5
Cherish ,2002,R,5,5,7
Ch̩ri ,2009,R,9,2,2
Chicago ,2002,PG-13,5,4,4
Chicken Little ,2005,G,1,4,2
Chicken Run ,2000,G,1,4,1
Chico & Rita ,2012,NR,7,4,4
Child 44 ,2015,R,5,7,6
Chill Factor ,1999,R,1,7,7
Chimpanzee ,2012,G,0,3,0
China Moon ,1994,R,6,6,5
Chi-Raq ,2015,R,7,5,9
Chloe ,2010,R,9,4,5
Chocolat ,2000,PG-13,4,3,3
"Choice, The ",2016,PG-13,4,4,4
Choke ,2008,R,10,4,8
"Chorus, The ",2005,PG-13,3,4,4
"Christmas Carol, A ",2009,PG,1,3,3
Christmas in the Clouds ,2005,PG,4,3,3
"Christmas Tale, A ",2008,NR,6,5,5
Christmas with the Kranks ,2004,PG,3,3,1
Christopher Columbus: The Discovery ,1992,PG-13,6,4,2
"Chronicles of Narnia, The: The Lion, the Witch and the Wardrobe ",2005,PG,1,6,1
Chronicle ,2012,PG-13,4,7,4
"Chronicles of Narnia, The: Prince Caspian ",2008,PG,1,6,1
"Chronicles of Narnia, The: The Voyage of the Dawn Treader ",2010,PG,1,5,1
"Chronicles of Riddick, The ",2004,PG-13,3,7,5
"Cider House Rules, The ",1999,PG-13,4,5,3
Cinderella ,2015,PG,2,2,2
Cinderella Man ,2005,PG-13,4,6,4
"Cinderella Story, A ",2004,PG,3,3,3
"Circle, The ",2017,PG-13,4,3,5
Circle of Friends ,1995,PG-13,5,2,2
Cirque du Freak: The Vampire's Assistant ,2009,PG-13,4,7,4
City Hall ,1996,R,0,4,8
City Island ,2009,PG-13,6,4,5
City of Angels ,1998,PG-13,5,4,4
City of Ember ,2008,PG,0,4,0
City of Industry ,1997,R,6,8,7
City of Ghosts ,2003,R,4,7,7
City of Joy ,1992,PG-13,1,5,3
City of Men ,2008,R,6,7,8
City Slickers II: The Legend of Curly's Gold ,1994,PG-13,3,2,5
"Civil Action, A ",1998,PG-13,0,1,5
CJ7 ,2008,PG,1,4,3
Clash of the Titans ,2010,PG-13,4,7,1
Class Act ,1992,PG-13,2,3,4
Clean Slate ,1994,PG-13,3,3,5
Clear and Present Danger ,1994,PG-13,2,6,5
"Clearing, The ",2004,R,4,5,5
Click ,2006,PG-13,6,4,5
"Client, The ",1994,PG-13,0,4,3
Cliffhanger ,1993,R,1,8,7
Clifford ,1994,PG,3,3,2
Clifford's Really Big Movie ,2004,G,0,2,0
Clockers ,1995,R,3,6,9
Clockstoppers ,2002,PG,3,4,3
Closed Circuit ,2013,R,3,5,6
Closer ,2004,R,8,4,8
"Closer You Get, The ",2000,PG-13,4,1,5
"Closet, The ",2001,R,6,3,5
Cloud Atlas ,2012,R,8,8,7
Clouds of Sils Maria ,2015,R,6,3,7
Cloudy with a Chance of Meatballs ,2009,PG,1,3,1
Cloudy with a Chance of Meatballs 2 ,2013,PG,1,3,2
Cloverfield ,2008,PG-13,4,6,5
Clueless ,1995,PG-13,2,2,3
Coach Carter ,2005,PG-13,4,4,5
Cobb ,1994,R,7,7,7
Coco Before Chanel ,2009,PG-13,5,2,4
Coco Chanel & Igor Stravinsky ,2010,R,8,2,3
Code Name: The Cleaner ,2007,PG-13,4,4,4
Cold Creek Manor ,2003,R,7,6,6
Cold In July ,2014,NR,7,7,6
"Cold Light of Day, The ",2012,PG-13,2,6,5
Cold Mountain ,2003,R,7,7,4
Collateral ,2004,R,1,7,6
Collateral Beauty ,2016,PG-13,1,3,5
Collateral Damage ,2002,R,2,8,5
"Collector, The ",2009,R,6,10,6
College Road Trip ,2008,G,2,3,1
Collide ,2017,PG-13,5,6,5
Colombiana ,2011,PG-13,5,7,5
Color of Night ,1994,R,8,8,8
Comedian ,2002,R,2,1,6
Comet ,2014,R,3,2,8
"Company Men, The ",2010,R,6,2,6
"Company You Keep, The ",2013,R,1,4,6
Compliance ,2012,R,7,3,6
Con Air ,1997,R,2,8,8
Conan the Barbarian ,2011,R,8,9,2
Concussion ,2015,PG-13,3,4,5
"Condemned, The ",2007,R,5,8,8
Coneheads ,1993,PG,4,5,3
Confessions of a Shopaholic ,2009,PG,3,2,3
Confessions of a Teenage Drama Queen ,2004,PG,3,2,2
Confetti ,2006,R,7,3,5
Congo ,1995,PG-13,1,7,5
"Congress, The ",2014,NR,7,4,6
"Conjuring, The ",2013,R,2,7,4
"Conjuring 2, The: The Enfield Poltergeist ",2016,R,1,6,2
Connie and Carla ,2004,PG-13,4,4,3
Consenting Adults ,1992,R,5,5,5
Conspiracy Theory ,1997,R,1,6,5
"Conspirator, The ",2011,PG-13,1,7,4
"Constant Gardener, The ",2005,R,5,8,6
Constantine ,2005,R,2,8,5
Contact ,1997,PG,2,1,2
Contagion ,2011,PG-13,1,5,5
"Contender, The ",2000,R,8,3,9
Cookie's Fortune ,1999,PG-13,3,4,3
"Cookout, The ",2004,PG-13,4,4,4
"Cool, Dry Place, A ",1998,PG-13,4,3,5
Cool Runnings ,1993,PG,0,2,2
Cop Car ,2015,R,0,6,6
Cop Land ,1997,R,4,7,8
Cops and Robbersons ,1994,PG,2,3,2
Copycat ,1995,R,3,8,6
Coraline ,2009,PG,4,5,2
"Core, The ",2003,PG-13,1,5,5
Corky Romano ,2001,PG-13,4,5,5
"Corrina, Corrina ",1994,PG,1,1,3
"Corruptor, The ",1999,R,7,9,8
Cosmopolis ,2012,R,7,7,5
Cotton Mary ,1999,R,6,2,1
"Counselor, The ",2013,R,7,7,8
"Counterfeiters, The ",2007,R,6,5,5
"Count of Monte Cristo, The ",2002,PG-13,4,6,3
Country Bears ,2002,G,1,2,1
Country Strong ,2011,PG-13,6,4,4
Couples Retreat ,2009,PG-13,6,4,4
Courageous ,2011,PG-13,1,5,1
Courage Under Fire ,1996,R,0,7,7
"Covenant, The ",2006,PG-13,5,6,4
Cowboys & Aliens ,2011,PG-13,3,8,4
"Cowboy Way, The ",1994,PG-13,5,4,5
Coyote Ugly ,2000,PG-13,5,2,4
Cradle 2 the Grave ,2003,R,7,7,9
Cradle Will Rock ,1999,R,8,2,6
"Craft, The ",1996,R,3,7,6
"Crazies, The ",2010,R,1,9,8
crazy/beautiful ,2001,PG-13,5,3,5
Crazy Heart ,2009,R,6,3,6
Crazy In Alabama ,1999,PG-13,2,4,4
"Crazy, Stupid, Love ",2011,PG-13,6,2,5
Creed ,2015,PG-13,4,5,5
"Crew, The ",2000,PG-13,5,5,5
Criminal ,2016,R,2,7,9
Crimson Tide ,1995,R,1,5,6
Crimson Peak ,2015,R,7,7,5
CrissCross ,1992,R,4,3,2
Crocodile Dundee in Los Angeles ,2001,PG,3,4,3
"Crocodile Hunter: Collision Course, The ",2002,PG,1,3,2
"Croods, The ",2013,PG,1,3,1
Crooklyn ,1994,PG-13,2,2,4
Crossover ,2006,PG-13,5,3,5
Crossroads ,2002,PG-13,4,3,4
"Crow, The ",1994,R,4,7,8
"Crow, The: City of Angels ",1996,R,7,9,7
"Crouching Tiger, Hidden Dragon ",2000,PG-13,5,7,1
"Crouching Tiger, Hidden Dragon: Sword of Destiny ",2016,PG-13,3,7,0
"Crucible, The ",1996,PG-13,4,3,2
Cruel Intentions ,1999,R,7,4,7
"Cruise, The ",1998,PG-13,2,1,5
"Crush, The ",1993,R,5,4,5
Crystal Fairy ,2013,NR,7,3,6
"Cup, The ",1999,G,2,1,2
"Cure, The ",1995,PG-13,0,3,5
"Cure for Wellness, A ",2017,R,8,8,5
"Curious Case of Benjamin Button, The ",2008,PG-13,7,6,5
Curious George ,2006,G,1,3,0
Cursed ,2005,PG-13,4,8,4
Curse of the Golden Flower ,2007,R,5,7,0
"Curse of the Jade Scorpion, The ",2001,PG-13,3,3,3
Cut Bank ,2015,R,2,6,7
Cutthroat Island ,1995,PG-13,4,6,3
"Cutting Edge, The ",1992,PG,2,1,1
Cyrus ,2010,R,6,3,7
Daddy Day Camp ,2007,PG,3,3,3
Daddy Day Care ,2003,PG,1,3,3
Daddy's Home ,2015,PG-13,5,4,5
Damage ,1993,R,7,2,5
"Damned United, The ",2009,R,2,5,9
Damsels in Distress ,2011,PG-13,5,4,3
Dance Flick ,2009,PG-13,6,6,4
"Dancer Upstairs, The ",2003,R,7,9,6
Dance With Me ,1998,PG,2,0,3
"Dangerous Method, A ",2012,R,8,3,5
Dangerous Minds ,1995,R,3,3,8
"Dangerous Woman, A ",1993,R,7,6,7
Dan In Real Life ,2007,PG-13,4,3,3
"Danish Girl, The ",2015,R,8,4,1
Danny Deckchair ,2004,PG-13,6,3,4
Dante's Peak ,1997,PG-13,2,6,5
Daredevil ,2003,PG-13,4,6,4
"Darjeeling Limited, The ",2007,R,6,5,6
Dark City ,1998,R,6,8,2
"Darkest Hour, The ",2011,PG-13,3,7,5
"Dark Half, The ",1993,R,0,9,6
"Dark Knight, The ",2008,PG-13,2,7,3
"Dark Knight Rises, The ",2012,PG-13,2,7,3
Darkness ,2002,PG-13,1,6,5
"Darkness, The ",2016,PG-13,1,6,5
Darkness Falls ,2003,PG-13,2,6,5
Dark Shadows ,2012,PG-13,4,6,4
Dark Skies ,2013,PG-13,4,6,4
Dark Tide ,2012,PG-13,3,7,5
"Dark Tower, The ",2017,PG-13,1,6,3
Dark Water ,2005,PG-13,3,5,5
Darling Companion ,2012,PG-13,4,3,4
Date Movie ,2006,PG-13,7,5,4
Date Night ,2010,PG-13,5,4,5
Daughters of the Dust ,1992,NR,2,0,0
Dave ,1993,PG-13,4,0,2
Dave Chappelle's Block Party ,2006,R,2,1,7
"Da Vinci Code, The ",2006,PG-13,5,7,4
Dawn of the Dead ,2004,R,6,10,8
Dawn of the Planet of the Apes ,2014,PG-13,1,7,5
"Day After Tomorrow, The ",2004,PG-13,3,6,4
Daybreakers ,2009,R,5,10,6
Daylight ,1996,PG-13,1,7,5
"Day the Earth Stood Still, The ",2008,PG-13,1,6,2
Dazed and Confused ,1993,R,3,3,7
Dead Man On Campus ,1998,R,4,4,6
Dead Man Walking ,1996,R,3,6,6
Dead Presidents ,1995,R,4,9,9
Dead Snow 2: Red vs. Dead ,2014,R,5,9,7
Dealin' with Idiots ,2013,NR,5,2,7
Dear Frankie ,2005,PG-13,2,3,5
Dear God ,1996,PG,1,2,3
Dear John ,2010,PG-13,6,4,4
